Employer_No,Cash_Received_Date,Total_Amt
100951,2018-08-06,2000.0
100029,2018-09-26,1539.47
100807,2018-10-15,430.0
100130,2019-01-03,942.05
100147,2018-11-06,525.7
100635,2018-11-15,2656.54
100745,2018-10-26,2177.8
100996,2017-09-21,141.56
100635,2018-06-26,2788.7
100073,2017-07-06,92.63
100073,2017-07-06,92.63
100073,2017-07-06,92.63
100073,2017-07-06,92.63
100073,2017-07-06,92.63
100073,2017-07-06,92.63
100073,2017-07-06,92.63
100184,2018-07-31,6477.39
100253,2018-06-27,640.0
100951,2018-07-03,2000.0
100029,2018-09-26,1469.08
100184,2018-08-30,8778.64
100582,2018-09-04,1192.29
100825,2017-07-03,3470.31
100526,2018-05-03,804.01
100807,2018-05-08,5153.5
100062,2018-07-23,5935.17
100807,2017-07-26,5460.0
100807,2017-07-26,1365.0
100029,2018-06-15,1231.63
100745,2018-05-01,2114.16
100635,2018-05-25,2001.28
100676,2018-07-05,104.22
100351,2018-05-15,1832.38
100184,2018-01-03,6147.2
100635,2018-07-02,1714.18
100029,2018-03-19,1231.58
100745,2018-03-08,2100.82
100130,2018-05-02,688.2
100277,2018-02-26,155.04
100635,2018-04-17,2139.92
100029,2017-10-25,1494.35
100880,2017-07-05,686.32
100184,2018-11-29,803.84
100281,2017-07-18,1958.9
100029,2018-06-15,1231.63
100745,2017-08-21,3140.43
100351,2017-08-15,1559.52
100253,2017-09-12,640.0
100951,2018-04-05,2000.0
100364,2018-05-14,634.6
100672,2018-04-30,400.0
100583,2018-06-12,731.5
100526,2018-06-04,825.82
100253,2018-06-27,640.0
100277,2018-04-25,155.04
100338,2018-01-23,2166.0
100147,2018-07-06,350.42
100343,2018-07-03,787.24
100825,2018-10-24,3470.31
100338,2018-10-30,1586.5
100184,2018-10-30,7046.59
100147,2018-10-10,350.43
100351,2018-10-26,1927.76
100807,2017-07-19,975.0
100184,2017-10-02,7278.86
100253,2017-09-12,640.0
100807,2017-07-19,3900.0
100338,2017-07-20,902.5
100062,2018-04-30,5855.22
100676,2018-06-04,122.84
100338,2018-04-30,2379.75
100062,2017-07-24,5825.06
100842,2018-05-08,14898.71
100745,2018-04-16,2107.49
100951,2018-03-06,2000.0
100655,2017-07-04,355.51
100073,2017-07-06,92.63
100951,2017-07-04,2000.0
100935,2018-07-02,432.25
100935,2017-12-04,458.5
100582,2018-04-11,1144.79
100494,2018-07-05,554.51
100351,2018-07-03,4454.79
100935,2018-07-02,539.12
100672,2018-08-23,400.0
100583,2018-07-02,760.0
100582,2018-08-06,1239.79
100526,2018-11-02,370.1
100351,2018-09-11,2548.98
100147,2018-09-10,350.47
100343,2018-09-14,2357.04
100150,2018-04-27,2255.05
100253,2018-04-19,640.0
100604,2018-11-02,790.98
100604,2018-11-02,794.3
100604,2018-11-02,621.88
100604,2018-11-02,774.36
100604,2018-11-02,739.21
100604,2018-11-02,674.61
100604,2018-11-02,603.83
100604,2018-11-02,250.9
100604,2018-11-02,440.43
100604,2018-11-02,401.71
100604,2018-11-02,368.94
100604,2018-11-02,462.52
100604,2018-11-02,492.21
100604,2018-11-02,427.6
100526,2018-11-02,114.0
100073,2018-10-23,92.63
100073,2018-10-23,92.63
100073,2018-10-23,92.63
100073,2018-10-23,92.63
100073,2018-10-23,92.63
100073,2018-10-23,92.63
100073,2018-10-23,48.53
100073,2018-10-23,92.63
100073,2018-10-23,48.53
100073,2018-10-23,92.63
100073,2018-10-23,48.53
100073,2018-10-23,92.63
100802,2018-12-27,287.28
100842,2018-12-10,19021.97
100277,2018-10-26,155.04
100046,2017-07-13,1321.61
100526,2018-02-02,915.4
100807,2018-11-13,2274.38
100825,2018-05-03,4771.68
100184,2017-08-29,7301.12
100347,2017-09-01,1315.39
100184,2018-05-29,5665.47
100147,2019-01-08,350.12
100807,2018-02-07,6936.15
100891,2017-12-05,2265.84
100364,2017-12-15,634.6
100745,2018-07-19,3171.24
100130,2018-07-30,727.04
100046,2018-08-15,1446.37
100526,2018-08-30,93.77
100807,2018-08-22,860.0
100891,2018-10-22,940.42
100556,2018-10-25,595.65
100445,2018-04-11,1945.66
100526,2018-04-06,825.82
100672,2018-11-15,400.0
100583,2018-12-05,285.0
100351,2018-11-13,1927.76
100807,2017-10-24,52415.72
100073,2018-01-25,92.63
100073,2018-01-25,92.63
100073,2018-01-25,92.63
100073,2018-01-25,92.63
100073,2018-01-25,92.63
100073,2018-01-25,92.63
100073,2018-01-25,92.63
100842,2018-03-08,16057.22
100967,2018-01-30,855.0
100130,2018-05-02,688.2
100627,2018-06-18,457.28
100338,2018-08-02,2175.5
100807,2017-07-26,8190.0
100807,2017-07-26,8775.0
100807,2017-07-26,1560.0
100807,2017-07-26,1560.0
100807,2017-07-26,1560.0
100445,2018-07-31,1149.65
100967,2017-11-22,681.0
100891,2018-01-16,1405.28
100582,2017-07-24,950.0
100364,2018-09-10,793.25
100635,2018-08-21,2001.28
100253,2018-09-28,650.0
100130,2018-07-30,727.04
100277,2018-08-27,155.04
100556,2018-09-03,795.0
100807,2018-08-22,645.0
100046,2018-03-13,922.91
100807,2018-05-07,4595.05
100526,2018-12-03,57.0
100526,2018-06-04,114.97
100150,2017-10-24,3157.7
100807,2017-09-19,36270.0
100627,2018-12-24,110.53
100807,2018-08-22,860.0
100224,2017-07-25,403.35
100672,2018-11-15,400.0
100583,2018-10-29,142.0
100277,2018-10-01,155.04
100672,2018-04-30,400.0
100583,2018-03-20,418.0
100184,2018-04-04,6557.12
100745,2017-08-31,2100.82
100635,2017-10-05,2473.86
100351,2017-09-13,1949.39
100935,2017-09-06,687.79
100582,2017-12-07,1448.75
100672,2017-08-18,400.0
100184,2017-07-31,6614.52
100582,2017-10-25,1425.0
100672,2017-08-18,400.0
100253,2017-08-02,603.84
100184,2017-11-29,8774.94
100184,2017-11-29,1498.08
100807,2017-07-14,390.0
100281,2018-08-06,1837.3
100842,2017-12-08,16818.03
100364,2017-11-13,793.25
100494,2017-11-16,553.61
100635,2017-11-22,2001.28
100150,2018-10-10,2255.05
100807,2018-10-15,44720.0
100253,2018-09-28,650.0
100802,2018-08-31,179.55
100582,2018-07-04,1239.79
100029,2017-10-25,1195.48
100672,2017-11-06,400.0
100583,2017-11-15,66.5
100338,2017-10-18,1268.25
100909,2017-12-13,275.74
100582,2017-08-15,1140.0
100494,2018-03-26,250.89
100351,2018-04-11,1740.04
100253,2018-04-19,640.0
100364,2017-08-30,580.96
100494,2017-08-25,467.57
100635,2017-08-22,1945.8
100935,2017-09-06,520.11
100582,2017-11-20,1263.54
100672,2017-08-18,400.0
100364,2017-11-01,634.6
100526,2018-07-04,189.2
100526,2017-12-06,806.34
100526,2017-12-06,13.4
100281,2018-05-04,1339.5
100184,2018-01-30,1498.08
100073,2018-01-25,92.63
100073,2018-01-25,92.63
100073,2018-01-25,92.63
100445,2018-07-31,30922.28
100891,2018-05-11,899.55
100891,2018-06-19,1455.52
100745,2017-11-01,2100.82
100062,2018-01-17,5318.39
100935,2017-11-02,608.0
100582,2018-02-20,1239.79
100073,2018-05-02,92.63
100073,2018-05-02,92.63
100807,2017-11-22,23185.0
100526,2017-11-01,780.44
100073,2017-11-01,92.63
100073,2017-11-01,92.63
100073,2017-11-01,92.63
100073,2017-11-01,92.63
100073,2017-11-01,92.63
100073,2017-11-01,92.63
100073,2017-11-01,92.63
100073,2017-11-01,92.63
100073,2017-11-01,92.63
100073,2017-11-01,92.63
100445,2017-10-27,542.59
100445,2017-10-27,3011.64
100445,2017-10-27,15543.85
100445,2017-10-27,1864.59
100445,2017-10-27,370.5
100151,2018-12-05,351.5
100881,2018-11-21,361.69
100881,2018-09-05,1083.99
100076,2018-09-06,3229.8
100083,2018-11-30,870.0
100705,2018-11-12,998.28
100390,2017-10-24,6385.16
100105,2017-12-13,555.92
100723,2017-07-07,296.9
100922,2017-09-07,1755.0
100367,2017-07-05,401.03
100044,2017-07-18,590.88
100404,2018-01-16,4004.52
100390,2018-04-17,5890.37
100444,2018-10-16,370.88
100254,2018-07-04,192.8
100390,2018-03-20,5639.48
100390,2018-03-20,208.0
100505,2018-07-09,429.28
100942,2018-07-13,8200.0
100408,2018-09-07,160.75
100410,2018-07-26,166.44
100044,2018-07-17,433.2
100444,2018-10-16,422.75
100881,2018-09-05,1083.99
100076,2018-08-29,2776.58
100705,2018-09-13,748.28
100438,2018-07-31,2968.05
100932,2018-11-05,652.33
100432,2018-11-02,275.0
100254,2018-09-06,503.4
100367,2018-09-03,671.48
100432,2018-11-02,275.0
100105,2018-10-30,555.92
100932,2018-11-05,652.34
100398,2018-11-02,200.21
100141,2017-07-03,2394.0
100396,2018-04-10,10275.0
100297,2018-04-11,386.32
100534,2018-06-22,1935.7
100881,2018-05-22,1428.99
100076,2018-05-21,1635.94
100932,2018-08-08,652.0
100406,2018-06-05,15172.18
100297,2018-01-22,381.9
100521,2017-12-12,899.0
100505,2017-12-11,630.97
100297,2017-12-13,474.31
100396,2017-12-13,10275.0
100705,2018-01-22,1072.85
100406,2018-09-12,2903.58
100390,2018-10-10,5167.1
100705,2018-05-17,748.28
100444,2018-06-04,571.04
100254,2018-04-09,1663.07
100187,2018-04-16,273.6
100141,2018-03-28,1795.5
100505,2018-11-19,422.75
100187,2018-11-27,200.64
100942,2018-11-12,4730.0
100408,2018-11-23,152.18
100590,2018-01-25,2432.02
100881,2017-09-11,1753.92
100076,2017-09-01,1855.66
100685,2018-01-25,181.75
100438,2017-09-06,2255.21
100534,2018-05-01,1637.9
100061,2017-07-14,256.5
100432,2017-09-15,678.0
100183,2017-08-14,500.0
100367,2018-02-01,915.81
100881,2018-05-22,1296.24
100076,2018-05-21,2405.31
100141,2018-04-19,1995.0
100505,2017-08-22,928.09
100723,2017-08-04,301.45
100532,2017-08-21,426.26
100408,2017-10-06,263.63
100410,2017-10-17,361.0
100723,2018-04-04,142.43
100590,2018-06-07,1593.56
100942,2018-05-14,4100.0
100408,2018-06-16,151.83
100410,2018-05-17,166.44
100044,2018-05-10,477.87
100444,2018-10-16,355.68
100410,2018-05-17,624.15
100183,2017-11-13,490.0
100534,2018-01-25,2398.74
100191,2018-12-31,329.18
100705,2018-09-13,748.28
100141,2018-08-10,1596.0
100709,2018-06-27,441.75
100405,2018-07-06,20000.0
100183,2018-10-17,7454.0
100083,2018-11-30,840.0
100044,2018-10-25,433.2
100166,2018-10-08,89.78
100183,2017-09-06,5875.0
100521,2017-10-25,570.0
100297,2017-09-11,456.04
100396,2017-10-11,11375.0
100705,2017-11-13,1395.59
100408,2017-10-06,242.38
100410,2017-10-17,361.0
100507,2017-07-03,919.62
100932,2017-09-08,594.38
100365,2018-02-07,185.28
100367,2017-07-03,1361.87
100367,2018-05-03,548.92
100532,2018-05-18,694.09
100532,2017-12-21,457.43
100105,2018-06-29,555.92
100723,2018-06-27,97.11
100532,2018-07-18,422.17
100396,2018-08-07,1820.0
100532,2018-09-18,204.98
100166,2018-09-21,82.65
100408,2018-05-24,178.64
100404,2018-10-29,947.82
100105,2018-10-30,555.92
100044,2018-11-29,433.2
100105,2017-09-07,555.92
100404,2018-05-07,1823.97
100297,2017-07-14,359.22
100396,2017-08-28,9100.0
100705,2018-06-18,748.28
100324,2018-04-24,525.46
100509,2019-01-08,652.12
100324,2018-01-19,515.16
100390,2017-12-27,6193.72
100705,2018-03-29,748.28
100187,2018-03-09,342.0
100705,2017-09-11,1322.28
100083,2018-07-09,805.0
100432,2018-09-12,1375.0
100390,2018-07-09,53.85
100324,2018-08-03,525.46
100254,2018-08-10,117.27
100390,2018-10-10,156.58
100191,2018-10-29,87.64
100532,2018-11-20,221.34
100881,2018-11-21,1446.81
100324,2017-07-10,772.74
100105,2018-03-06,555.92
100083,2018-03-19,780.0
100183,2017-09-06,950.0
100404,2019-01-04,1123.39
100404,2018-04-24,1821.68
100390,2017-09-15,7538.11
100367,2017-09-29,649.8
100390,2018-01-25,7781.97
100509,2018-01-19,681.3
100390,2018-07-09,5951.45
100105,2017-09-07,555.92
100404,2018-06-19,1952.09
100394,2018-11-23,157.8
100198,2018-07-26,2074.77
100942,2018-08-13,6665.0
100044,2018-08-20,433.2
100083,2018-09-17,780.0
100390,2018-09-03,5395.35
100324,2018-03-02,515.16
100396,2018-03-06,7500.0
100404,2018-10-29,905.77
100509,2017-10-09,433.37
100404,2017-07-31,2220.76
100390,2017-11-27,436.8
100404,2017-11-27,2275.42
100705,2017-12-11,998.28
100922,2018-06-26,3645.0
100444,2018-03-06,381.09
100932,2018-08-08,653.0
100406,2018-07-04,2202.42
100187,2018-07-26,171.0
100367,2018-08-02,519.84
100705,2018-10-19,864.95
100183,2018-03-08,6080.0
100105,2017-12-13,555.92
100723,2017-09-07,283.75
